Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
177001,all_trees_shrubs,"1,2,3,4,5,6,7",7,7,4,840,2191,538608,,FALSE,,595.964247878744,0.165545624410762
419084,rinosy,"3,4,5,6,7",5,7,4,840,2142,538020,,FALSE,,594.955863396265,0.165265517610074
126039,hirttr,"1,2,3,4,5,6,7",7,7,4,840,2121,536599,,FALSE,,592.521798304837,0.16458938841801
254883,hybapr,"1,3,4,5,6,7",6,7,4,840,2149,535374,,FALSE,,590.426719430615,0.16400742206406
223919,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1560,531900,,FALSE,,584.501641852641,0.162361567181289
055223,caseac,"1,2,3,4,5,6,7",7,6,5,720,1890,531000,,FALSE,,582.970603891662,0.161936278858795
192789,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1890,531000,,FALSE,,582.970603891662,0.161936278858795
191666,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,4,360,1860,530100,,FALSE,,581.441195009123,0.16151144305809
103745,ingas1,"1,2,3,4,5,6,7",7,6,5,720,1488,529452,,FALSE,,580.341029627834,0.161205841563287
060988,all_palm_tree_fern,"1,3,4,5,6,7",6,6,5,720,1836,529380,,FALSE,,580.218841185244,0.161171900329234
190380,all_trees_shrubs,"1,2,3,4,5,6,7",7,6,4,360,1836,529380,,FALSE,,580.218841185244,0.161171900329234
405814,rinosy,"3,4,5,6,7",5,6,5,720,1830,529200,,FALSE,,579.913415719492,0.161087059922081
029751,macrgl,"1,2,3,4,5,6,7",7,6,5,720,1470,522864,,FALSE,,569.204012485067,0.158112225690296
061602,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1470,522864,,FALSE,,569.204012485067,0.158112225690296
158638,protco,"1,2,3,4,5,6,7",7,6,5,720,1470,522864,,FALSE,,569.204012485067,0.158112225690296
511047,conoci,"4,5,6,7",4,6,5,720,1452,522756,,FALSE,,569.02216719207,0.158061713108908
205349,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1716,522180,,FALSE,,568.052723002722,0.157792423056312
124244,ade1tr,"1,2,3,4,5,6,7",7,6,4,360,1836,520740,,FALSE,,565.632041287619,0.157120011468783
030075,alsebl,"1,2,3,4,5,6,7",7,6,5,720,1464,520668,,FALSE,,565.511117057791,0.157086421404942
187521,lindla,"1,2,3,4,5,6,7",7,6,5,720,1464,520668,,FALSE,,565.511117057791,0.157086421404942
161770,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1818,520632,,FALSE,,565.450658867031,0.157069627463064
256293,hybapr,"1,2,3,4,5,6,7",7,6,4,360,1812,520596,,FALSE,,565.390203292419,0.157052834247894
127586,cou2cu,"1,3,4,5,6,7",6,6,4,360,1806,520560,,FALSE,,565.329750333991,0.157036041759442
503281,hybapr,"4,5,6,7",4,6,5,720,1446,520560,,FALSE,,565.329750333991,0.157036041759442
714095,sipapa,"6,7",2,6,5,720,1440,518400,,FALSE,,561.70736172906,0.156029822702517
745255,all_trees_shrubs,"6,7",2,6,5,720,1440,518400,,FALSE,,561.70736172906,0.156029822702517
132238,cou2cu,"1,2,3,4,5,6,7",7,6,5,720,1830,507600,,FALSE,,543.736953878975,0.15103804274416
176394,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1806,506160,,FALSE,,541.3587539695,0.150377431658195
195633,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1740,501300,,FALSE,,533.36341088609,0.148156503023914
012090,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1740,494100,,FALSE,,521.606755722072,0.144890765478353
081560,ade1tr,"1,2,3,4,5,6,7",7,6,5,720,1716,493380,,FALSE,,520.436898332427,0.144565805092341
068378,rinosy,"1,2,3,4,5,6,7",7,6,5,720,1626,489780,,FALSE,,514.603475353085,0.142945409820301
042800,cappfr,"1,2,3,4,5,6,7",7,6,4,360,1800,489600,,FALSE,,514.312498660367,0.142864582961213
222972,hybapr,"1,2,3,4,5,6,7",7,6,4,360,1800,489600,,FALSE,,514.312498660367,0.142864582961213
087026,faraoc,"1,2,4,5,6,7",6,6,5,720,1572,475956,,FALSE,,492.44942073484,0.136791505759678
090224,all_trees_shrubs,"1,2,3,4,5,6,7",7,6,4,360,1686,475920,,FALSE,,492.392239263289,0.13677562201758
128881,all_trees_shrubs,"1,2,3,4,5,6,7",7,6,5,720,1920,475200,,FALSE,,491.249168801919,0.136458102444978
206625,all_palm_tree_fern,"1,2,4,5,6,7",6,6,4,360,1920,475200,,FALSE,,491.249168801919,0.136458102444978
223084,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1920,475200,,FALSE,,491.249168801919,0.136458102444978
147451,chr1ec,"1,2,3,4,5,6,7",7,6,5,720,1716,468180,,FALSE,,480.160088681721,0.133377802411589
217882,all_trees_shrubs,"1,2,3,4,5,6,7",7,6,4,360,1800,460800,,FALSE,,468.611816915623,0.130169949143229
170017,chr1ec,"2,3,4,5,6,7",6,6,5,720,1596,454320,,FALSE,,458.56466784658,0.127379074401828
